epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87334,0.94472,4.80406,1.35545,0.13499,0.75,0.54752,0.42843,1.64506,3.50205,1.60196,0,0,0
2,3.12766,1.06693,3.91088,1.42241,0.15278,0.76667,0.57599,0.46712,1.62276,3.43771,1.58637,1.17822e-06,1.17822e-06,1.17822e-06
3,3.35927,0.86605,3.86364,1.1247,0.49897,0.4,0.57472,0.46696,1.60243,3.41222,1.57663,2.33288e-06,2.33288e-06,2.33288e-06
4,3.64161,0.99293,4.1644,1.40621,0.72268,0.23333,0.57468,0.468,1.61038,3.37168,1.58164,3.46397e-06,3.46397e-06,3.46397e-06
5,4.05731,1.29553,4.02971,1.7623,0.71614,0.23333,0.57454,0.46923,1.62543,3.35688,1.584,4.5715e-06,4.5715e-06,4.5715e-06
6,4.58957,0.60413,3.90173,1.01278,0.70204,0.23333,0.57107,0.46723,1.60752,3.3234,1.57554,5.65548e-06,5.65548e-06,5.65548e-06
7,4.96497,1.15915,4.06887,1.64955,0.69743,0.23333,0.5704,0.46945,1.59375,3.2772,1.57039,6.71588e-06,6.71588e-06,6.71588e-06
8,5.36021,1.0964,4.25938,1.58783,0.12959,0.73333,0.57089,0.46976,1.60701,3.25265,1.56309,7.75273e-06,7.75273e-06,7.75273e-06
9,5.79149,0.74976,3.65374,1.23276,0.14918,0.81667,0.52674,0.43364,1.59682,3.23399,1.55007,8.76602e-06,8.76602e-06,8.76602e-06
10,6.19657,0.8673,3.43444,1.22063,0.15759,0.81667,0.53466,0.4406,1.58773,3.22647,1.54284,9.75574e-06,9.75574e-06,9.75574e-06
11,6.59756,1.19336,3.33558,1.63543,0.15804,0.83333,0.53867,0.44114,1.54982,3.20521,1.51296,1.07219e-05,1.07219e-05,1.07219e-05
12,6.99861,0.82203,3.2164,1.2243,0.17271,0.83333,0.51291,0.42544,1.56336,3.21824,1.5069,1.16645e-05,1.16645e-05,1.16645e-05
13,7.39959,1.12372,3.31748,1.56646,0.18055,0.85,0.51419,0.42756,1.56069,3.20261,1.49455,1.25835e-05,1.25835e-05,1.25835e-05
14,7.80459,0.57876,3.08128,1.10069,0.15132,0.76667,0.49463,0.42367,1.55926,3.19854,1.48534,1.3479e-05,1.3479e-05,1.3479e-05
15,8.19552,0.93133,2.89546,1.35596,0.15137,0.75,0.49127,0.4155,1.55157,3.16999,1.48377,1.43509e-05,1.43509e-05,1.43509e-05
16,8.59726,0.99148,2.73789,1.29182,0.19577,0.83333,0.51803,0.42226,1.52443,3.13994,1.45672,1.51993e-05,1.51993e-05,1.51993e-05
